år,co2
1829,0.009932231
1830,0.006537505
1831,0.003230403
1835,0.012408057
1836,0.015357249
1837,0.021288287
1838,0.042157065
1839,0.032786433
1840,0.035391875
1841,0.046679433
1842,0.057700925
1843,0.048485868
1844,0.050751865
1845,0.075258635
1846,0.074399464
1847,0.07627414
1848,0.096947104
1849,0.07717001
1850,0.099875614
1851,0.10638039
1852,0.10497247
1853,0.11364036
1854,0.15941471
1855,0.17197877
1856,0.20113294
1857,0.19838622
1858,0.17210157
1859,0.2071832
1860,0.2093993
1861,0.26640996
1862,0.2278102
1863,0.22142568
1864,0.29053947
1865,0.2837035
1866,0.30967367
1867,0.3654634
1868,0.37097478
1869,0.32096925
1870,0.36228594
1871,0.34843832
1872,0.36982825
1873,0.3681372
1874,0.45147362
1875,0.5611456
1876,0.49000984
1877,0.6539466
1878,0.5773575
1879,0.6011349
1880,0.6519781
1881,0.67056686
1882,0.72940433
1883,0.78291
1884,0.7984825
1885,0.9091223
1886,0.88498867
1887,0.8499257
1888,0.97926545
1889,1.111468
1890,1.0327786
1891,1.1904045
1892,1.2039268
1893,1.1888568
1894,1.3874222
1895,1.4447643
1896,1.4596028
1897,1.5636258
1898,1.5463502
1899,1.830457
1900,1.8610289
1901,1.7297902
1902,1.8700955
1903,1.8559071
1904,1.8083662
1905,1.7914501
1906,1.8124046
1907,2.0375307
1908,2.4192793
1909,2.4213858
1910,2.4751422
1911,2.5110497
1912,2.8143475
1913,2.8024375
1914,3.091719
1915,3.354548
1916,3.1034336
1917,1.3600785
1918,1.7149223
1919,2.0193615
1920,2.0063963
1921,1.2671517
1922,2.4167676
1923,2.5169272
1924,2.8450587
1925,2.7788672
1926,2.3124485
1927,3.131306
1928,3.0347118
1929,3.3965983
1930,3.0944333
1931,2.8502915
1932,3.02887
1933,3.198203
1934,3.2858331
1935,3.369211
1936,3.575719
1937,4.0043383
1938,3.547229
1939,4.209471
1940,2.173844
1941,1.5946462
1942,1.5194427
1943,1.7712185
1944,1.5727881
1945,1.2810465
1946,2.2377732
1947,3.330741
1948,3.409945
1949,3.2011957
1950,2.5696678
1951,2.8746793
1952,2.909803
1953,2.9104495
1954,2.9109414
1955,3.3285115
1956,3.4527307
1957,3.2520964
1958,3.1746132
1959,3.3231869
1960,3.6539803
1961,3.6940427
1962,3.8636587
1963,4.0812902
1964,4.376657
1965,4.4017396
1966,5.2064133
1967,5.1010766
1968,5.532504
1969,5.7683196
1970,7.2192965
1971,6.960457
1972,7.4738636
1973,7.698587
1974,6.947948
1975,7.6362596
1976,8.278573
1977,8.238064
1978,8.037989
1979,8.501873
1980,7.7774677
1981,7.7575016
1982,7.512171
1983,7.7380815
1984,8.166269
1985,7.7747164
1986,8.346882
1987,7.9309134
1988,8.454768
1989,8.07837
1990,8.252238
1991,7.850515
1992,8.023684
1993,8.334148
1994,8.7284355
1995,8.822004
1996,9.477096
1997,9.448772
1998,9.436168
1999,9.544954
2000,9.376105
2001,9.636202
2002,9.37614
2003,9.616297
2004,9.63268
2005,9.356811
2006,9.4059725
2007,9.67984
2008,9.368472
2009,8.920949
2010,9.32993
2011,9.033292
2012,8.812012
2013,8.761842
2014,8.750223
2015,8.7651005
2016,8.531886
2017,8.3687105
2018,8.35887
2019,8.001257
2020,7.663988
2021,7.5935297
2022,7.5093055
