Dato,Kumulativt antall,Nye tilfeller
21.02.2020,1,1
22.02.2020,1,0
23.02.2020,1,0
24.02.2020,1,0
25.02.2020,1,0
26.02.2020,4,3
27.02.2020,6,2
28.02.2020,15,9
29.02.2020,21,6
01.03.2020,31,10
02.03.2020,43,12
03.03.2020,74,31
04.03.2020,107,33
05.03.2020,140,33
06.03.2020,164,24
07.03.2020,183,19
08.03.2020,248,65
09.03.2020,495,247
10.03.2020,736,241
11.03.2020,911,175
12.03.2020,1117,206
13.03.2020,1264,147
14.03.2020,1364,100
15.03.2020,1463,99
16.03.2020,1643,180
17.03.2020,1819,176
18.03.2020,2032,213
19.03.2020,2271,239
20.03.2020,2579,308
21.03.2020,2753,174
22.03.2020,2901,148
23.03.2020,3197,296
24.03.2020,3510,313
25.03.2020,3802,292
26.03.2020,4100,298
27.03.2020,4362,262
28.03.2020,4528,166
29.03.2020,4634,106
30.03.2020,4898,264
31.03.2020,5106,208
01.04.2020,5304,198
02.04.2020,5502,198
03.04.2020,5666,164
04.04.2020,5754,88
05.04.2020,5826,72
06.04.2020,5985,159
07.04.2020,6125,140
08.04.2020,6231,106
09.04.2020,6334,103
10.04.2020,6402,68
11.04.2020,6512,110
12.04.2020,6588,76
13.04.2020,6665,77
14.04.2020,6787,122
15.04.2020,6890,103
16.04.2020,6970,80
17.04.2020,7078,108
18.04.2020,7127,49
19.04.2020,7163,36
20.04.2020,7247,84
21.04.2020,7325,78
22.04.2020,7402,77
23.04.2020,7471,69
24.04.2020,7524,53
25.04.2020,7549,25
26.04.2020,7586,37
27.04.2020,7657,71
28.04.2020,7707,50
29.04.2020,7746,39
30.04.2020,7785,39
01.05.2020,7828,43
02.05.2020,7851,23
03.05.2020,7895,44
04.05.2020,7940,45
05.05.2020,7984,44
06.05.2020,8023,39
07.05.2020,8052,29
08.05.2020,8094,42
09.05.2020,8105,11
10.05.2020,8117,12
11.05.2020,8142,25
12.05.2020,8161,19
13.05.2020,8180,19
14.05.2020,8204,24
15.05.2020,8227,23
16.05.2020,8240,13
17.05.2020,8244,4
18.05.2020,8261,17
19.05.2020,8281,20
20.05.2020,8300,19
21.05.2020,8314,14
22.05.2020,8340,26
23.05.2020,8346,6
24.05.2020,8352,6
25.05.2020,8370,18
26.05.2020,8382,12
27.05.2020,8400,18
28.05.2020,8416,16
29.05.2020,8432,16
30.05.2020,8432,0
31.05.2020,8438,6
01.06.2020,8445,7
02.06.2020,8476,31
03.06.2020,8488,12
04.06.2020,8505,17
05.06.2020,8535,30
06.06.2020,8543,8
07.06.2020,8552,9
08.06.2020,8571,19
09.06.2020,8584,13
10.06.2020,8598,14
11.06.2020,8609,11
12.06.2020,8622,13
13.06.2020,8629,7
14.06.2020,8635,6
15.06.2020,8653,18
16.06.2020,8689,36
17.06.2020,8704,15
18.06.2020,8717,13
19.06.2020,8735,18
20.06.2020,8741,6
21.06.2020,8745,4
22.06.2020,8773,28
23.06.2020,8786,13
24.06.2020,8807,21
25.06.2020,8824,17
26.06.2020,8846,22
27.06.2020,8856,10
28.06.2020,8857,1
29.06.2020,8883,26
30.06.2020,8894,11
01.07.2020,8902,8
02.07.2020,8911,9
03.07.2020,8921,10
