tid_min,antall_bakterier
0,121
1,253
2,220
3,127
4,182
5,249
6,413
7,607
8,816
9,825
10,968
11,1062
12,1128
13,1092
14,945
15,1009
16,1222
17,1409
18,1344
19,1296
20,1479
21,1601
22,1648
23,1498
24,1688
25,1541
26,1424
27,1527
28,1524
29,1495
30,1387
31,1350
32,1247
33,1180
34,1160
35,1170
36,1285
37,1213
38,1351
39,1503
40,1536
41,1457
42,1404
43,1344
44,1337
45,1231
46,1156
47,1233
48,1146
49,1008
50,1147
51,1165
52,1147
53,1300
54,1233
55,1122
56,1133
57,1325
58,1484
59,1505
60,1444
61,1525
62,1719
63,1780
64,1822
65,1974
66,1811
67,2016
68,2153
69,2261
70,2408
71,2254
72,2402
73,2277
74,2304
75,2193
76,2074
77,2208
78,2433
79,2627
80,2511
81,2512
82,2642
83,2814
84,2726
85,2721
86,2702
87,2838
88,3075
89,3186
90,3145
91,3101
92,3061
93,3104
94,3340
95,3539
96,3708
97,3693
98,3626
99,3826
100,3854
101,3776
102,3822
103,4045
104,4201
105,4228
106,4215
107,4076
108,4231
109,4446
110,4518
111,4721
112,4800
113,4784
114,4881
115,5011
116,5088
117,5258
118,5363
119,5448
120,5356
121,5427
122,5484
123,5596
124,5843
125,5949
126,6024
127,6211
128,6428
129,6641
130,6864
131,7012
132,7080
133,7061
134,7273
135,7431
136,7547
137,7562
138,7619
139,7513
140,7601
141,7528
142,7688
143,7873
144,7735
145,7725
146,7899
147,7887
148,8057
149,8032
150,7939
151,7793
152,7774
153,7639
154,7606
155,7620
156,7511
157,7476
158,7404
159,7310
160,7283
161,7506
162,7505
163,7710
164,7896
165,7835
166,7976
167,7862
168,7836
169,7948
170,7847
171,7774
172,7683
173,7868
174,7885
175,8099
176,8080
177,8063
178,8063
179,7905
180,7951
181,8170
182,8067
183,8178
184,8144
185,8135
186,8144
187,8213
188,8213
189,8201
190,8379
191,8459
192,8593
193,8451
194,8295
195,8511
196,8619
197,8672
198,8598
199,8521
200,8718
201,8830
202,8899
203,9061
204,9096
205,9303
206,9232
207,9415
208,9513
209,9478
210,9410
211,9350
212,9195
213,9295
214,9262
215,9462
216,9575
217,9450
218,9314
219,9229
220,9124
221,9074
222,8996
223,9194
224,9275
225,9237
226,9216
227,9083
228,9074
229,8931
230,9040
231,9185
232,9225
233,9273
234,9359
235,9482
236,9474
237,9608
238,9416
239,9327
240,9242
241,9138
242,9012
243,9046
244,9110
245,9304
246,9206
247,9369
248,9471
249,9553
250,9435
251,9368
252,9200
253,9034
254,9114
255,9058
256,9116
257,9086
258,8961
259,9101
260,9084
261,9173
262,9157
263,8977
264,9186
265,9236
266,9205
267,9333
268,9433
269,9360
270,9457
271,9434
272,9469
273,9385
274,9417
275,9302
276,9416
277,9333
278,9290
279,9271
280,9204
281,9243
282,9218
283,9112
284,9215
285,9304
286,9363
287,9558
288,9498
289,9416
290,9542
291,9615
292,9603
293,9486
294,9377
295,9352
296,9374
297,9325
298,9160
299,9338
300,9227
301,9088
302,8925
303,8920
304,8894
305,9035
306,9040
307,9013
308,9074
309,9287
310,9337
311,9247
312,9383
313,9414
314,9264
315,9137
316,9043
317,9067
318,9121
319,8994
320,8952
321,9069
322,8904
323,9005
324,8949
325,8978
326,8944
327,8940
328,9036
329,9214
330,9297
331,9231
332,9124
333,9305
334,9297
335,9367
336,9491
337,9667
338,9536
339,9510
340,9540
341,9731
342,9867
343,9790
344,9744
345,9898
346,9738
347,9702
348,9870
349,9773
350,9784
351,9910
352,9869
353,9791
354,9735
355,9740
356,9688
357,9804
358,9897
359,9953
360,9825
361,9644
362,9607
363,9480
364,9308
365,9288
366,9277
367,9348
368,9368
369,9450
370,9497
371,9623
372,9616
373,9688
374,9578
375,9715
376,9828
377,9874
378,9886
379,10035
380,10178
381,10306
382,10475
383,10324
384,10265
385,10325
386,10409
387,10497
388,10545
389,10569
390,10660
391,10577
392,10421
393,10284
394,10283
395,10423
396,10437
397,10456
398,10470
399,10378
400,10347
401,10366
402,10418
403,10234
404,10061
405,10141
406,10117
407,9967
408,10078
409,10227
410,10233
411,10048
412,9952
413,9905
414,9971
415,9826
416,9721
417,9574
418,9568
419,9400
420,9490
421,9690
422,9541
423,9353
424,9502
425,9463
426,9403
427,9343
428,9216
429,9336
430,9292
431,9274
432,9219
433,9176
434,9000
435,9003
436,9167
437,9060
438,8997
439,9199
440,9179
441,9298
442,9319
443,9414
444,9600
445,9473
446,9574
447,9723
448,9897
449,9991
450,9978
451,9864
452,9933
453,9754
454,9807
455,9900
456,9952
457,9855
458,9816
459,9978
460,9857
461,9852
462,9773
463,9850
464,9672
465,9583
466,9567
467,9770
468,9956
469,9867
470,9820
471,10020
472,10142
473,9976
474,9891
475,9965
476,10034
477,10097
478,10172
479,10027
480,10061
481,10151
482,10108
483,10138
484,10326
485,10178
486,10180
487,10100
488,9946
489,10053
490,10180
491,10300
492,10334
493,10520
494,10708
495,10860
496,10703
497,10776
498,10937
499,10828
500,10644
501,10525
502,10392
503,10228
504,10222
505,10062
506,10098
507,10113
508,10266
509,10409
510,10447
511,10433
512,10487
513,10433
514,10613
515,10672
516,10787
517,10701
518,10692
519,10572
520,10463
521,10398
522,10307
523,10366
524,10199
525,10232
526,10057
527,9989
528,10075
529,9995
530,9946
531,9851
532,9999
533,10103
534,10080
535,9957
536,9813
537,9884
538,9730
539,9726
540,9858
541,9811
542,9780
543,9647
544,9711
545,9691
546,9635
547,9476
548,9504
549,9589
550,9620
551,9783
552,9843
553,10017
554,9997
555,10153
556,10037
557,10148
558,10282
559,10452
560,10546
561,10457
562,10446
563,10584
564,10712
565,10662
566,10689
567,10852
568,10685
569,10642
570,10529
571,10521
572,10625
573,10692
574,10808
575,10754
576,10542
577,10487
578,10520
579,10519
580,10434
581,10410
582,10576
583,10693
584,10705
585,10847
586,10803
587,10889
588,10782
589,10854
590,10685
591,10736
592,10524
593,10358
594,10495
595,10317
596,10269
597,10293
598,10106
599,10190
600,9989
601,10019
602,9994
603,9855
604,10051
605,10005
606,10053
607,9894
608,9851
609,9667
610,9514
611,9718
612,9842
613,9959
614,9976
615,9927
616,9802
617,9924
618,9829
619,9815
620,9846
621,10005
622,9855
623,10008
624,10053
625,9978
626,9919
627,10020
628,10000
629,9820
630,9881
631,10076
632,9974
633,9837
634,9681
635,9501
636,9472
637,9544
638,9619
639,9566
640,9718
641,9742
642,9855
643,9669
644,9499
645,9485
646,9534
647,9720
648,9573
649,9572
650,9661
651,9785
652,9770
653,9916
654,9779
655,9606
656,9509
657,9440
658,9421
659,9374
660,9258
661,9126
662,9150
663,9339
664,9288
665,9365
666,9565
667,9407
668,9408
669,9552
670,9694
671,9520
672,9429
673,9639
674,9669
675,9541
676,9474
677,9565
678,9535
679,9479
680,9353
681,9489
682,9588
683,9716
684,9561
685,9531
686,9693
687,9619
688,9783
689,9718
690,9750
691,9569
692,9750
693,9711
694,9710
695,9688
696,9646
697,9499
698,9514
699,9427
700,9606
701,9637
702,9756
703,9782
704,9696
705,9771
706,9647
707,9481
708,9376
709,9551
710,9738
711,9691
712,9511
713,9354
714,9486
715,9556
716,9707
717,9601
718,9661
719,9474
720,9288
721,9222
722,9315
723,9276
724,9120
725,9096
726,9205
727,9191
728,9056
729,8883
730,9018
731,9073
732,9120
733,9121
734,8951
735,9165
736,9122
737,9033
738,8997
739,9014
740,8924
741,8948
742,8917
743,9062
744,9269
745,9438
746,9276
747,9185
748,9273
749,9114
750,9009
751,8849
752,8780
753,9000
754,9039
755,9066
756,8912
757,9108
758,9275
759,9106
760,8997
761,9073
762,8917
763,8765
764,8732
765,8875
766,9035
767,9154
768,9232
769,9317
770,9387
771,9446
772,9527
773,9577
774,9508
775,9411
776,9255
777,9362
778,9445
779,9548
780,9579
781,9475
782,9676
783,9537
784,9520
785,9532
786,9375
787,9428
788,9408
789,9582
790,9503
791,9435
792,9493
793,9508
794,9682
795,9746
796,9804
797,9867
798,10053
799,10047
800,10079
801,9902
802,9893
803,9900
804,9720
805,9875
806,9689
807,9670
808,9654
809,9773
810,9731
811,9631
812,9537
813,9557
814,9437
815,9542
816,9512
817,9478
818,9530
819,9395
820,9385
821,9478
822,9548
823,9616
824,9527
825,9432
826,9269
827,9326
828,9390
829,9528
830,9511
831,9382
832,9569
833,9442
834,9502
835,9527
836,9483
837,9479
838,9556
839,9543
840,9596
841,9611
842,9796
843,9954
844,10045
845,9853
846,9835
847,9779
848,9798
849,9740
850,9939
851,9857
852,9930
853,9994
854,10137
855,10173
856,9992
857,9869
858,9688
859,9700
860,9823
861,9775
862,9771
863,9769
864,9922
865,9913
866,9993
867,10191
868,10002
869,9824
870,9912
871,9951
872,9867
873,10012
874,10182
875,10016
876,10158
877,10256
878,10399
879,10317
880,10490
881,10657
882,10553
883,10668
884,10469
885,10416
886,10460
887,10500
888,10595
889,10737
890,10652
891,10833
892,10805
893,10918
894,10959
895,11068
896,10955
897,11065
898,11103
899,11238
900,11197
901,10994
902,10981
903,11060
904,11044
905,10860
906,11008
907,10985
908,10894
909,10731
910,10523
911,10694
912,10707
913,10709
914,10698
915,10789
916,10613
917,10456
918,10361
919,10287
920,10425
921,10305
922,10213
923,10090
924,10282
925,10362
926,10478
927,10346
928,10424
929,10484
930,10602
931,10507
932,10303
933,10410
934,10326
935,10390
936,10379
937,10560
938,10471
939,10304
940,10215
941,10129
942,10111
943,10210
944,10237
945,10259
946,10298
947,10482
948,10348
949,10309
950,10148
951,10227
952,10153
953,10221
954,10179
955,10033
956,10174
957,10212
958,10360
959,10347
960,10421
961,10569
962,10431
963,10297
964,10220
965,10310
966,10353
967,10485
968,10654
969,10532
970,10334
971,10210
972,10022
973,10125
974,10307
975,10218
